estado,municipio,parroquia,old_centro,new_centro,address
38,ARAGUA,MARIO B IRAGORRY,CM. EL LIMON,ESCUELA BASICA NACIONAL 6 DE SEPTIEMBRE,CASA DEL PODER POPULAR  EL PASEO,URBANIZACIÓN EL PASEO DERECHA  AVENIDA 102. IZQUIERDA  CALLE #102. FRENTE CALLE #24 DETRAS DEL PREESCOLAR ANDRES ELOY BLANCO CASA
},ARAGUA,TOVAR,CM. COLONIA TOVAR,UNIDAD EDUCATIVA NACIONAL ELIZABET VONKELLER,UNIDAD EDUCATIVA SAN JOSE,SECTOR SAN JOSE CARRETERA COLONIA TOVAR LA VICTORIA.
40,ARAGUA,JOSE R REVENGA,CM. EL CONSEJO,UNIDAD EDUCATIVA NACIONAL MANUELA PERDOMO DE ALMEI,PREESCOLAR NACIONAL BOLIVARIANO SABANETA  EL CONSEJ,SECTOR LAS CASITAS  CALLE INDEPENDENCIA SIN MUMERO DERECHA CALLE LOS COCOS. FRENTE CALLE INDEPENDENCIA.  IZQUIERDA  PASAJE SIN NUMERO EL MODULO DE SERVICIO DE SABANETA
41,ARAGUA,FRANCISCO LINARES,CM. SANTA RITA,UNIDAD EDUCATIVA PRIVADA INTEGRAL AYACUCHO,UNIDAD EDUCATIVA ESTADAL NUESTRA SEÑORA DE COROMOT,BARRIO JOSE CASANOVA  GODOY DERECHA CALLE PARAMACONY.  IZQUIERDA  CALLE JULIAN VARGAS. FRENTE CALLE SUCRE IGLESIA SAN JOSE OBRERO EDIFICIO
42,ARAGUA,FRANCISCO LINARES,MONS FELICIANO G,ESCUELA BASICA REYNA DE VAZQUEZ,ESCUELA BASICA PARAPARAL  II,URBANIZACIÓN PARAPARAL FRENTE AVENIDA PRINCIPAL. DERECHA CALLE MANZANA  N. IZQUIERDA  CALLE MANZANA  M CERCA DE LA ESCUELA BASICA REINA DE VAZQUEZ EDIFICIO
43,ARAGUA,FRANCISCO LINARES,MONS FELICIANO G,CIELO ABIERTO SIMON BOLIVAR II,PREESCOLAR NACIONAL MARACAY I.,URBANIZACIÓN PARAPARAL  I IZQUIERDA AVENIDA PRINCIPAL  PARAPARAL I. DERECHA  CALLE EL CANAL. FRENTE CALLE LOS CEDROS  IGLESIA SANTO TOMAS APOSTOL EDIFICIO
44,BARINAS,ARISMENDI,ARISMENDI,"ESCUELA ESTADAL
UNITARIA FLOR AMARILLO NUCLEO ESCOLAR RURAL NUMERO 04",ESCUELA CONCENTRADA GUANARE  VIEJO 1,"SECTOR FLOR AMARILLO CARRETERA PRINCIPAL A
10 MINUTOS DE EL CENTRO DE VOTACION ESCUELA ESTADAL UNITARIA FLOR AMARILLO"
45,BARINAS,ARISMENDI,LA UNION,ESCUELA ESTADAL UNITARIA EL GUASIMO,CASA DE REFUGIO ANA HERRERA,SECTOR EL GUASIMO  FRENTE AL RIO GUANARE AL LADO DEL PASO A 50 METROS DE CENTRO DE VOTACION ESCUELA ESTADAL UNITARIA EL GUASIMO PARROQUIA  LA UNION
46,CARABOBO,JUAN JOSE MORA,URAMA,MEDICATURA  RURAL DE URAMA,UNIDAD EDUCATIVA URAMA,"CASERÍO  EL SALADO  FRENTE CALLE PRINCIPAL. IZQUIERDA PROLONGACIÓN CALLE PRINCIPAL.
DERECHA  CALLEJÓN  FAMILIA HERNANDEZ DIAGONAL A MULTISERVICIOS ROJAS EDIFICIO"
47,CARABOBO,SAN JOAQUIN,SAN JOAQUIN,ESCUELA PRIMARIA BOLIVARIANA LA PRADERA,ESCUELA BOLIVARIANA ROMERO GARCIA,SECTOR BOQUITA CENTRO DERECHA CALLE CENTRO. IZQUIERDA  CALLE GIRARDOT.  FRENTE CALLE MIRANDA  DETRÁS DE EMPRESA HEINZ EDIFICIO
